,model,r_square_score,mae_score,mse_score,rmse_score,mape_score,transformation
0,RandomForestRegressor,0.9024208080499935,908.1568157425869,8305639.611448266,2881.950660828229,35.53790325246246,sqrt
1,LinearRegression,-2.143171687939296e+21,4070730415242.084,1.8242015853751774e+29,427106729679500.3,992902825622.7136,sqrt
2,DecisionTreeRegressor,0.8312949596957624,1261.8881527339918,14359652.272174394,3789.4131830897504,47.10996788961684,sqrt
3,GradientBoostingRegressor,0.9147036688251833,1013.9033089551598,7260160.416984481,2694.468485060547,95.18243546500604,sqrt
4,KNeighborsRegressor,0.03982764550809126,3827.741367545615,81726906.95544352,9040.29352153145,691.2128903074243,sqrt
5,XGBRegressor,0.8206700666796269,944.372462618532,15264010.368800433,3906.9182700435945,51.07991089640489,sqrt
6,LGBMRegressor,0.8418143098195632,942.6947838457202,13464277.660754213,3669.3701994694147,52.03079415202091,sqrt
7,CatBoostRegressor,0.8313756852053112,930.7029980838261,14352781.165985003,3788.5064558457602,51.761464806291336,sqrt
8,Ridge,0.7112540770689445,2589.990849491942,24577161.659312177,4957.535845489388,528.1472505576664,sqrt
9,Lasso,0.7256575977292516,2483.289200959259,23351178.44147766,4832.305706541926,499.46453417841303,sqrt
10,MLP,0.3591054617775289,3349.114970682658,54550964.78098113,7385.862494047742,658.9237990891944,sqrt
11,ElasticNet,0.015903606771928036,4007.626396125223,83763247.28397077,9152.226356683426,1000.1378355265924,sqrt
12,Keras,-6.798515383720576,3241.092041081906,663785557.0140738,25764.036116534106,1063.1378600294913,sqrt
